"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","fare_amount","payment_type","percent_tip"
"Manhattan","Manhattan",4.34,26.04,1.27,17.7,1,16.6666666666667
"Manhattan","Manhattan",2.52,27.72,3.04,21.2,1,9.09090909090909
"Manhattan","Manhattan",2.52,12.62,0.34,5.1,1,19.9683042789223
"Manhattan","Manhattan",2.44,14.64,0.63,7.2,1,16.6666666666667
"Manhattan","Manhattan",10.29,44.59,5.81,30.3,1,23.0769230769231
"Manhattan","Manhattan",6.93,30.03,2.49,19.1,1,23.0769230769231
"Manhattan","Manhattan",4.34,26.04,2.36,17.7,1,16.6666666666667
"Manhattan","Manhattan",3,13.8,0.7,5.8,1,21.7391304347826
"Manhattan","Manhattan",3.75,18.75,1.4,10,1,20
"Manhattan","Manhattan",1.12,12.32,0.8,7.2,1,9.09090909090909
"Manhattan","Manhattan",3,33.8,5.5,26.8,1,8.87573964497042
"Manhattan","Manhattan",2.7,16.3,1.4,8.6,1,16.5644171779141
"Manhattan","Manhattan",2.5,21,2.45,13.5,1,11.9047619047619
"Manhattan","Manhattan",3.46,26.56,4.22,19.1,1,13.0271084337349
"Manhattan","Manhattan",1.51,14.11,1,8.6,1,10.7016300496102
"Manhattan","Airport",0,82.3,18.35,70,1,0
"Manhattan","Manhattan",3.35,16.65,1.2,9.3,1,20.1201201201201
"Manhattan","Manhattan",3.16,18.96,1.09,9.3,1,16.6666666666667
"Manhattan","Manhattan",1,12.9,1.2,7.9,1,7.75193798449612
"Manhattan","Airport",8.69,53.88,6.48,27.5,1,16.1284335560505
"Manhattan","Manhattan",1.85,16.95,0.95,8.6,1,10.9144542772861
"Manhattan","Manhattan",2.94,17.64,0.94,10.7,1,16.6666666666667
"Manhattan","Airport",14.99,91.68,9.45,59,1,16.3503490401396
"Manhattan","Manhattan",1.68,12.88,0.83,7.2,1,13.0434782608696
"Manhattan","Manhattan",5.85,29.25,4.15,18.4,1,20
"Manhattan","Manhattan",3.64,21.84,1.4,14.2,1,16.6666666666667
"Manhattan","Manhattan",2,20.9,2.13,14.9,1,9.56937799043062
"Manhattan","Manhattan",2.52,15.12,1.42,8.6,1,16.6666666666667
"Manhattan","Manhattan",3.16,18.96,1.14,9.3,1,16.6666666666667
"Manhattan","Manhattan",3.08,18.48,1.4,11.4,1,16.6666666666667
"Brooklyn","Manhattan",7.34,44.04,6.35,31.7,1,16.6666666666667
"Manhattan","Manhattan",3.72,22.32,1.48,12.1,1,16.6666666666667
"Manhattan","Manhattan",2.24,24.64,2.53,18.4,1,9.09090909090909
"Manhattan","Manhattan",10,21.2,1,7.2,1,47.1698113207547
"Manhattan","Manhattan",2,11.1,0.47,5.1,1,18.018018018018
"Manhattan","Manhattan",2.72,16.32,1.54,8.6,1,16.6666666666667
"Manhattan","Manhattan",4,24,1.7,13.5,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.5,10,1,16.6666666666667
"Manhattan","Manhattan",2,15.3,1.32,9.3,1,13.0718954248366
