"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","fare_amount","payment_type","percent_tip"
"Bronx","Manhattan",0,40,13,38.5,1,0
"Manhattan","Manhattan",1.38,8.28,0.35,4.4,1,16.6666666666667
"Manhattan","Manhattan",2.38,14.28,0.77,7.9,1,16.6666666666667
"Manhattan","Manhattan",3.36,20.16,1.6,12.8,1,16.6666666666667
"Manhattan","Manhattan",1,14.3,0.95,9.3,1,6.99300699300699
"Manhattan","Manhattan",4,21.8,2.18,12.8,1,18.348623853211
"Manhattan","Manhattan",2.35,14.25,1,7.9,1,16.4912280701754
"Manhattan","Manhattan",3.8,23,2.5,14.2,1,16.5217391304348
"Airport","Manhattan",15.31,76.56,10.4,45.7,1,19.9973876698015
"Manhattan","Manhattan",8.54,51.24,2.67,38.7,1,16.6666666666667
"Manhattan","Manhattan",3.95,19.75,0.76,9.3,1,20
"Manhattan","Airport",14.8,88.8,17.29,70,1,16.6666666666667
"Manhattan","Manhattan",3,18.7,1.32,10.7,1,16.0427807486631
"Manhattan","Manhattan",2.94,17.64,1.21,10.7,1,16.6666666666667
"Manhattan","Manhattan",3.8,28,2.9,17.7,1,13.5714285714286
"Manhattan","Manhattan",4.38,21.88,0.71,13.5,1,20.018281535649
"Manhattan","Airport",19.16,97.06,15.7,61.1,1,19.7403667834329
"Manhattan","Manhattan",6.21,26.91,1.99,14.2,1,23.0769230769231
"Manhattan","Manhattan",2,11.8,0.88,5.8,1,16.9491525423729
"Manhattan","Manhattan",3.75,22.65,1.4,14.9,1,16.5562913907285
"Manhattan","Manhattan",4.48,26.88,1.91,18.4,1,16.6666666666667
"Manhattan","Manhattan",4.96,29.76,3.44,19.8,1,16.6666666666667
"Manhattan","Manhattan",2,15.6,0.96,8.6,1,12.8205128205128
"Manhattan","Manhattan",1,12.2,0.81,7.2,1,8.19672131147541
"Manhattan","Airport",0,51.5,7.7,31.7,1,0
"Manhattan","Manhattan",7.76,46.56,7.67,33.8,1,16.6666666666667
"Manhattan","Manhattan",2,12.1,0.6,5.1,1,16.5289256198347
"Manhattan","Manhattan",5.8,34.8,5.04,24,1,16.6666666666667
"Manhattan","Manhattan",4.62,23.12,2.09,13.5,1,19.9826989619377
"Manhattan","Manhattan",2.5,15.1,0.9,8.6,1,16.5562913907285
"Airport","Manhattan",10.01,60.06,8.43,34.5,1,16.6666666666667
"Manhattan","Manhattan",6.09,26.39,1.91,16.3,1,23.0769230769231
"Manhattan","Manhattan",2.16,12.96,0.88,5.8,1,16.6666666666667
"Manhattan","Manhattan",5.24,31.44,3.79,21.2,1,16.6666666666667
"Manhattan","Airport",18.12,78.52,8.88,43.6,1,23.0769230769231
"Manhattan","Manhattan",3.78,22.68,2.08,14.9,1,16.6666666666667
"Manhattan","Manhattan",2.44,14.64,1,7.2,1,16.6666666666667
"Bronx","Airport",10,106.3,21.58,87,1,9.40733772342427
"Manhattan","Manhattan",4,37.3,4.03,26.8,1,10.7238605898123
"Manhattan","Manhattan",1,26.5,4.4,20.5,1,3.77358490566038
"Manhattan","Manhattan",1.05,11.55,0.8,6.5,1,9.09090909090909
"Manhattan","Manhattan",3.78,22.68,2.2,14.9,1,16.6666666666667
"Manhattan","Manhattan",4.65,28.05,3.6,18.4,1,16.5775401069519
"Manhattan","Manhattan",2,17.8,0.9,9.3,1,11.2359550561798
"Manhattan","Airport",10,63.95,10.7,42.2,1,15.6372165754496
"Manhattan","Manhattan",2.98,14.88,1.22,7.9,1,20.0268817204301
"Airport","Manhattan",24.01,144.06,17.8,99.3,1,16.6666666666667
"Manhattan","Manhattan",4.1,24.8,0.3,14.2,1,16.5322580645161
"Manhattan","Manhattan",1,15.7,0.38,10.7,1,6.36942675159236
"Manhattan","Manhattan",4.38,21.88,1.45,13.5,1,20.018281535649
"Manhattan","Manhattan",1,18.5,1.6,13.5,1,5.4054054054054
"Manhattan","Manhattan",2,18.5,1.5,10,1,10.8108108108108
"Airport","Manhattan",12,70.45,10.9,42.9,1,17.0333569907736
"Manhattan","Manhattan",2.52,12.62,0.71,5.1,1,19.9683042789223
"Manhattan","Manhattan",2,19.1,1.89,12.1,1,10.4712041884817
"Manhattan","Manhattan",3.28,19.68,1.24,11.4,1,16.6666666666667
"Manhattan","Manhattan",4,24,1.9,13.5,1,16.6666666666667
"Manhattan","Manhattan",2.66,15.96,1.07,9.3,1,16.6666666666667
"Manhattan","Manhattan",3.36,25.76,2.88,18.4,1,13.0434782608696
"Manhattan","Manhattan",2,10.4,0.2,4.4,1,19.2307692307692
"Manhattan","Manhattan",0,22.1,1.96,15.6,1,0
"Brooklyn","Manhattan",17.95,89.9,13.9,60.4,1,19.9666295884316
"Manhattan","Manhattan",4.28,25.68,0.82,14.9,1,16.6666666666667
"Brooklyn","Manhattan",5.8,34.8,4.79,24,1,16.6666666666667
"Manhattan","Manhattan",4.4,26.4,3.64,17,1,16.6666666666667
"Manhattan","Manhattan",2,20.2,1.6,14.2,1,9.9009900990099
"Manhattan","Manhattan",4.82,28.92,4.08,19.1,1,16.6666666666667
"Manhattan","Manhattan",3.22,19.32,1.48,12.1,1,16.6666666666667
"Manhattan","Manhattan",4.68,28.08,3.26,18.4,1,16.6666666666667
"Queens","Airport",7.36,45.91,7.13,30.3,1,16.0313657155304
"Manhattan","Manhattan",1,21.6,2.6,15.6,1,4.62962962962963
"Manhattan","Manhattan",6.64,39.84,3.16,28.2,1,16.6666666666667
"Manhattan","Manhattan",2.8,14,0.79,7.2,1,20
"Manhattan","Manhattan",2,31.4,5.75,25.4,1,6.36942675159236
"Queens","Airport",6.2,37.25,6.5,26.8,1,16.6442953020134
"Manhattan","Manhattan",5.35,26.75,1.4,14.9,1,20
"Manhattan","Manhattan",2.1,12.6,0.5,6.5,1,16.6666666666667
"Manhattan","Manhattan",4.96,29.76,4.14,19.8,1,16.6666666666667
"Manhattan","Manhattan",4.83,24.13,0.99,12.8,1,20.016576875259
"Manhattan","Manhattan",2.1,12.6,0.4,6.5,1,16.6666666666667
"Manhattan","Manhattan",0,14.7,1.64,10.7,1,0
"Manhattan","Manhattan",2.3,13.8,0.98,6.5,1,16.6666666666667
"Brooklyn","Manhattan",6.08,36.48,4.86,25.4,1,16.6666666666667
"Manhattan","Manhattan",3.72,22.32,1.73,12.1,1,16.6666666666667
"Manhattan","Manhattan",2.2,13.4,0.8,7.2,1,16.4179104477612
"Manhattan","Manhattan",4.28,25.68,1.58,14.9,1,16.6666666666667
"Manhattan","Manhattan",3.36,20.16,2.75,12.8,1,16.6666666666667
"Manhattan","Manhattan",9.24,55.44,8.3,42.2,1,16.6666666666667
"Manhattan","Manhattan",1.26,13.86,0.74,8.6,1,9.09090909090909
"Manhattan","Airport",16.35,98.15,16.2,70,1,16.6581762608253
"Manhattan","Manhattan",8.65,37.65,4.3,24,1,22.9747675962815
"Manhattan","Manhattan",3.92,23.52,2,15.6,1,16.6666666666667
"Manhattan","Manhattan",2.66,15.96,1.49,9.3,1,16.6666666666667
"Manhattan","Manhattan",1.6,19.8,1.77,14.2,1,8.08080808080808
"Manhattan","Manhattan",1.2,11,0.5,5.8,1,10.9090909090909
"Manhattan","Manhattan",4.06,24.36,2.4,16.3,1,16.6666666666667
"Brooklyn","Airport",2,48.95,9.51,38.7,1,4.08580183861083
"Manhattan","Manhattan",19.1,114.6,0,92,1,16.6666666666667
"Manhattan","Manhattan",4.7,28.2,2.1,17,1,16.6666666666667
"Manhattan","Manhattan",4.56,27.36,2.44,16.3,1,16.6666666666667
"Manhattan","Manhattan",4.68,28.08,3.62,18.4,1,16.6666666666667
"Manhattan","Manhattan",5.8,31,2.44,21.2,1,18.7096774193548
"Manhattan","Manhattan",5.46,32.76,3.54,23.3,1,16.6666666666667
"Manhattan","Manhattan",2.03,22.33,3.2,16.3,1,9.09090909090909
"Manhattan","Manhattan",3.5,21,1.6,13.5,1,16.6666666666667
"Manhattan","Manhattan",2,15.3,1.1,9.3,1,13.0718954248366
"Manhattan","Manhattan",3.22,19.32,1.8,12.1,1,16.6666666666667
"Manhattan","Manhattan",5,21.8,1.9,12.8,1,22.9357798165138
"Manhattan","Manhattan",3.86,23.16,1.55,12.8,1,16.6666666666667
"Manhattan","Manhattan",2.55,12.65,0.2,5.1,1,20.1581027667984
"Manhattan","Manhattan",2.38,14.28,1.15,7.9,1,16.6666666666667
"Manhattan","Manhattan",1.5,15.1,1.1,8.6,1,9.93377483443709
"Manhattan","Manhattan",5.42,27.12,3.95,17.7,1,19.9852507374631
"Manhattan","Manhattan",2.38,14.28,0.86,7.9,1,16.6666666666667
"Manhattan",NA,0,98.26,19.6,67.2,1,0
"Manhattan","Manhattan",10.08,17.08,0.01,3,1,59.016393442623
"Manhattan","Manhattan",1.5,17.6,1.9,12.1,1,8.52272727272727
"Manhattan","Manhattan",2.1,12.6,0.53,6.5,1,16.6666666666667
"Manhattan","Manhattan",3.5,21,2.29,13.5,1,16.6666666666667
"Manhattan","Manhattan",3.1,30,4.81,21.9,1,10.3333333333333
"Manhattan","Manhattan",6.2,31.1,2.8,18.4,1,19.935691318328
"Manhattan","Airport",20.14,101.94,18.08,70,1,19.7567196390033
"Manhattan","Manhattan",3.28,19.68,1.38,11.4,1,16.6666666666667
"Manhattan","Manhattan",6.3,37.8,3.44,27.5,1,16.6666666666667
"Manhattan","Manhattan",1,20.9,1.97,14.9,1,4.78468899521531
"Manhattan","Manhattan",2.72,16.32,1.37,8.6,1,16.6666666666667
"Manhattan","Manhattan",3.5,17.5,0.7,10,1,20
"Manhattan","Manhattan",3.64,21.84,1.36,14.2,1,16.6666666666667
"Manhattan","Manhattan",5.55,24.05,2.15,13.5,1,23.0769230769231
"Manhattan","Manhattan",3.08,18.48,1.53,11.4,1,16.6666666666667
"Manhattan","Manhattan",4.62,23.12,1.48,13.5,1,19.9826989619377
"Manhattan","Manhattan",2,18.4,1.6,11.4,1,10.8695652173913
"Manhattan","Manhattan",3,18,1.1,10,1,16.6666666666667
"Manhattan","Manhattan",2,16.7,1.4,10.7,1,11.9760479041916
"Manhattan","Manhattan",6.3,37.8,4.19,27.5,1,16.6666666666667
"Manhattan","Manhattan",1,15.3,1.1,9.3,1,6.5359477124183
"Manhattan","Manhattan",2.83,31.13,4.55,23.3,1,9.09090909090909
"Manhattan","Manhattan",1.5,13.4,0.96,7.9,1,11.1940298507463
"Manhattan","Manhattan",4.38,21.88,0.94,13.5,1,20.018281535649
"Manhattan","Manhattan",4.98,29.88,2.83,18.4,1,16.6666666666667
"Manhattan","Manhattan",2.72,16.32,1.4,8.6,1,16.6666666666667
"Manhattan","Manhattan",3.28,19.68,0.33,14.9,1,16.6666666666667
"Manhattan","Manhattan",2,19.8,1.3,12.8,1,10.1010101010101
"Manhattan","Manhattan",3.36,25.76,2.5,18.4,1,13.0434782608696
"Manhattan","Manhattan",5.95,29.75,3,19.8,1,20
"Brooklyn","Manhattan",6.47,32.37,4.16,21.9,1,19.9876428792091
"Manhattan","Manhattan",3.25,19.65,1.9,11.4,1,16.5394402035623
"Brooklyn","Airport",12.34,75.29,11.13,52.7,1,16.3899588258733
"Queens","Manhattan",4.48,26.88,3.6,18.4,1,16.6666666666667
"Manhattan","Manhattan",2.38,14.28,0.86,7.9,1,16.6666666666667
"Queens","Manhattan",8.93,53.58,7.68,33.1,1,16.6666666666667
"Manhattan","Manhattan",3,24,1.8,17,1,12.5
"Manhattan","Manhattan",3.92,23.52,1.98,15.6,1,16.6666666666667
"Manhattan","Manhattan",4.12,24.72,2.76,15.6,1,16.6666666666667
"Manhattan","Manhattan",2.8,16.8,0.87,10,1,16.6666666666667
"Manhattan","Manhattan",3,22.2,2.23,14.2,1,13.5135135135135
"Manhattan","Manhattan",5.04,30.24,1.5,21.2,1,16.6666666666667
"Manhattan","Manhattan",1.36,14.96,1.2,8.6,1,9.09090909090909
"Manhattan","Airport",16.11,98.41,17.8,70,1,16.3702875724012
"Manhattan","Manhattan",2,15.3,1.3,9.3,1,13.0718954248366
"Airport","Manhattan",0,80.55,16.7,70,1,0
"Manhattan","Manhattan",2,14.3,0.6,5.8,1,13.986013986014
"Manhattan","Manhattan",1.73,16.13,1.03,7.9,1,10.7253564786113
"Manhattan","Manhattan",2,16.7,1.98,10.7,1,11.9760479041916
"Manhattan","Manhattan",0.25,9.35,0.52,5.1,1,2.67379679144385
"Manhattan","Manhattan",2.52,15.12,1.16,8.6,1,16.6666666666667
"Manhattan","Manhattan",6.4,32,2.22,19.1,1,20
"Manhattan","Manhattan",2.24,13.44,0.45,7.2,1,16.6666666666667
"Manhattan","Manhattan",7,42,6.13,31,1,16.6666666666667
"Manhattan","Manhattan",3.08,18.48,1.6,11.4,1,16.6666666666667
"Manhattan","Manhattan",8.28,35.88,4.19,22.6,1,23.0769230769231
"Manhattan","Manhattan",2.24,13.44,0.91,7.2,1,16.6666666666667
"Manhattan","Airport",8.02,88.21,18.8,70,1,9.09193968937762
"Manhattan","Manhattan",1.44,15.84,0.84,7.9,1,9.09090909090909
"Manhattan","Manhattan",2,12.1,0.6,5.1,1,16.5289256198347
"Manhattan","Manhattan",3.08,18.48,1.5,11.4,1,16.6666666666667
"Manhattan","Airport",5,87.69,18.29,70,1,5.70190443608165
"Manhattan","Airport",15,97.69,19.04,70,1,15.3546934179548
"Manhattan","Manhattan",5.66,33.96,5.07,23.3,1,16.6666666666667
"Manhattan","Manhattan",2.38,14.28,1.25,7.9,1,16.6666666666667
"Manhattan","Airport",11.83,72.23,9.14,43.6,1,16.3782361899488
"Manhattan","Manhattan",3.22,19.32,1.56,12.1,1,16.6666666666667
"Manhattan","Manhattan",2,25.8,2.2,19.8,1,7.75193798449612
"Manhattan","Manhattan",3.56,21.36,1.78,12.8,1,16.6666666666667
"Manhattan","Manhattan",2.7,16.3,1.2,8.6,1,16.5644171779141
"Manhattan","Manhattan",2,15,0.8,6.5,1,13.3333333333333
"Manhattan","Manhattan",2.46,14.76,0.51,5.8,1,16.6666666666667
"Manhattan","Manhattan",3.08,18.48,1.93,11.4,1,16.6666666666667
"Manhattan","Manhattan",3.36,14.56,0.5,7.2,1,23.0769230769231
"Manhattan","Manhattan",0,18.5,2.27,13.5,1,0
"Manhattan","Manhattan",6.94,41.64,6.41,28.2,1,16.6666666666667
"Manhattan","Manhattan",6.02,36.12,4.32,26.1,1,16.6666666666667
"Manhattan","Manhattan",2.65,15.95,1.3,9.3,1,16.6144200626959
"Manhattan","Manhattan",2.58,15.48,0.48,7.9,1,16.6666666666667
"Manhattan","Manhattan",4.5,19.6,1,8.6,1,22.9591836734694
"Manhattan","Manhattan",2.66,15.96,1.47,9.3,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.42,10,1,16.6666666666667
"Brooklyn","Manhattan",10.49,62.93,4.76,41.5,1,16.6693151120292
"Manhattan","Manhattan",0,11.9,0.73,7.9,1,0
"Manhattan","Manhattan",4.35,26.05,1.7,17.7,1,16.6986564299424
"Manhattan","Manhattan",2.86,17.16,1.44,9.3,1,16.6666666666667
"Queens","Brooklyn",0,23,3.1,21.5,1,0
"Manhattan","Manhattan",3.64,21.84,2.08,14.2,1,16.6666666666667
"Manhattan","Manhattan",5.8,34.8,4.38,24,1,16.6666666666667
"Manhattan","Manhattan",4.2,25.2,2.3,17,1,16.6666666666667
"Manhattan","Airport",0,82.69,17.86,70,1,0
"Manhattan","Manhattan",3.64,21.84,1.81,14.2,1,16.6666666666667
"Manhattan","Manhattan",3.3,19.8,0.9,10,1,16.6666666666667
"Manhattan","Manhattan",1.78,13.68,1,7.9,1,13.0116959064327
"Manhattan","Manhattan",0.01,18.51,1.47,13.5,1,0.0540248514316586
"Manhattan","Manhattan",4.2,25.2,1.65,17,1,16.6666666666667
"Manhattan","Manhattan",3.25,16.25,0.62,6.5,1,20
"Manhattan","Manhattan",3.84,23.04,2.32,14.2,1,16.6666666666667
"Manhattan","Manhattan",2.74,16.44,0.65,7.2,1,16.6666666666667
"Manhattan","Airport",12.34,94.64,18.05,70,1,13.0388841927303
"Manhattan","Manhattan",2.88,17.28,0.91,7.9,1,16.6666666666667
"Manhattan","Manhattan",5.6,33.6,4.92,24,1,16.6666666666667
"Manhattan","Manhattan",5.1,30.6,3.39,20.5,1,16.6666666666667
"Manhattan","Manhattan",1,14,0.9,6.5,1,7.14285714285714
"Manhattan","Manhattan",6.92,41.52,6.74,29.6,1,16.6666666666667
"Manhattan","Manhattan",3.78,22.68,2.42,14.9,1,16.6666666666667
"Manhattan","Manhattan",2.94,17.64,1.7,10.7,1,16.6666666666667
"Manhattan","Manhattan",2,15.3,0.58,9.3,1,13.0718954248366
"Queens","Airport",10.5,53.75,8.87,34.5,1,19.5348837209302
"Manhattan","Manhattan",1.82,10.92,0.5,5.1,1,16.6666666666667
"Airport","Manhattan",22.27,133.62,18.17,91.6,1,16.6666666666667
"Manhattan","Manhattan",4.56,27.36,2.24,16.3,1,16.6666666666667
"Manhattan","Manhattan",2.1,10.5,0.5,4.4,1,20
"Manhattan","Manhattan",4.56,27.36,2.44,16.3,1,16.6666666666667
"Manhattan","Manhattan",1.82,10.92,0.64,5.1,1,16.6666666666667
"Manhattan","Airport",12.19,74.88,8.24,45,1,16.2793803418803
"Brooklyn","Airport",12.5,75.05,15,58.3,1,16.655562958028
"Manhattan","Manhattan",2,30,4.55,24,1,6.66666666666667
"Manhattan","Manhattan",2.6,25,3.24,18.4,1,10.4
"Manhattan","Manhattan",4.34,26.04,3.24,17.7,1,16.6666666666667
"Manhattan","Manhattan",3.9,23.5,1.9,15.6,1,16.5957446808511
"Manhattan","Manhattan",2.42,18.52,1.77,12.1,1,13.0669546436285
"Manhattan","Manhattan",3,18,1.42,10,1,16.6666666666667
"Manhattan","Manhattan",10.9,54.7,6.9,37.3,1,19.926873857404
"Manhattan","Manhattan",4.5,22.7,2.5,14.2,1,19.8237885462555
"Manhattan","Manhattan",3.08,18.48,0.99,11.4,1,16.6666666666667
"Manhattan","Manhattan",1,13.3,0.74,5.8,1,7.5187969924812
"Manhattan","Manhattan",3.56,21.36,2.1,12.8,1,16.6666666666667
"Manhattan","Manhattan",4.1,24.8,2.4,14.2,1,16.5322580645161
"Airport","Manhattan",10.93,65.57,9.58,38.7,1,16.6692084794876
"Manhattan","Manhattan",5.1,30.6,3.94,20.5,1,16.6666666666667
"Manhattan","Manhattan",2,18.5,0.74,10,1,10.8108108108108
"Manhattan","Manhattan",2.85,14.35,0.7,6.5,1,19.8606271777003
"Manhattan","Manhattan",3.36,25.76,2.7,18.4,1,13.0434782608696
"Airport","Manhattan",10,90.94,19.12,70,1,10.9962612711678
"Manhattan","Manhattan",2,19.1,2.3,12.1,1,10.4712041884817
"Manhattan","Manhattan",2.88,17.28,1.17,7.9,1,16.6666666666667
"Manhattan","Manhattan",4,13.1,0.58,5.1,1,30.5343511450382
"Manhattan","Manhattan",4,24,0.5,13.5,1,16.6666666666667
"Manhattan","Manhattan",2,32.5,4.1,24,1,6.15384615384615
"Manhattan","Manhattan",3.3,19.7,2.1,11.4,1,16.751269035533
"Manhattan","Manhattan",8.8,44.1,5.8,30.3,1,19.9546485260771
"Manhattan","Manhattan",2.66,15.96,1.04,9.3,1,16.6666666666667
"Manhattan","Manhattan",3.14,18.84,1.6,10.7,1,16.6666666666667
"Manhattan","Manhattan",5.1,30.6,1.39,20.5,1,16.6666666666667
"Queens","Manhattan",0,76.55,22,68.5,1,0
"Manhattan","Manhattan",3.7,22.2,2.24,13.5,1,16.6666666666667
"Manhattan","Manhattan",2.4,14.3,0.6,7.9,1,16.7832167832168
"Manhattan","Manhattan",3.6,21.8,2.3,14.2,1,16.5137614678899
"Queens","Queens",0,54.65,10.88,46.4,1,0
"Manhattan","Manhattan",0,19.9,2.7,14.9,1,0
"Manhattan","Airport",16.11,97.91,18.16,70,1,16.4538862220407
"Manhattan","Manhattan",1,13.3,0.68,5.8,1,7.5187969924812
"Manhattan","Manhattan",2,18.8,1.14,12.8,1,10.6382978723404
"Manhattan","Manhattan",2.18,13.08,0.15,4.4,1,16.6666666666667
"Manhattan","Manhattan",2,15,0.69,6.5,1,13.3333333333333
"Manhattan","Manhattan",3.08,18.48,1.28,11.4,1,16.6666666666667
"Manhattan","Manhattan",3.1,18.8,1.9,10.7,1,16.4893617021277
"Manhattan","Manhattan",2,16,1.3,10,1,12.5
"Manhattan","Manhattan",3.78,22.68,2.2,14.9,1,16.6666666666667
"Manhattan","Manhattan",3.22,19.32,0.77,12.1,1,16.6666666666667
"Brooklyn","Manhattan",4,42.1,5.55,33.1,1,9.50118764845606
"Manhattan","Manhattan",5.08,25.38,1.1,16.3,1,20.0157604412924
"Manhattan","Manhattan",2,12.1,1,8.6,1,16.5289256198347
"Manhattan","Manhattan",1.5,13.4,1.12,7.9,1,11.1940298507463
"Manhattan","Airport",4.2,86,19.02,70,1,4.88372093023256
"Manhattan","Airport",17.23,76.42,10.06,41.5,1,22.5464538079037
"Queens","Airport",10,65.95,14.1,52.7,1,15.1630022744503
"Manhattan","Manhattan",2,14.6,1.25,8.6,1,13.6986301369863
"Manhattan","Manhattan",2.24,13.44,0.96,7.2,1,16.6666666666667
"Manhattan","Manhattan",2.85,17.15,1.2,9.3,1,16.6180758017493
"Manhattan","Manhattan",2,13.2,0.9,7.2,1,15.1515151515152
"Manhattan","Manhattan",3.36,20.16,1.54,12.8,1,16.6666666666667
"Manhattan","Airport",6,53.85,9.32,36.6,1,11.142061281337
"Manhattan","Manhattan",1.96,11.76,0.67,5.8,1,16.6666666666667
"Manhattan","Manhattan",1.5,14.1,1,8.6,1,10.6382978723404
"Manhattan","Manhattan",1,19.2,1.7,14.2,1,5.20833333333333
"Manhattan","Manhattan",2,17.7,1.02,10.7,1,11.2994350282486
"Airport","Manhattan",0,80.94,16.61,70,1,0
"Manhattan","Manhattan",4.2,21,1.2,12.8,1,20
"Queens","Airport",5,58.85,12.7,50.6,1,8.49617672047579
"Manhattan","Manhattan",2.74,16.44,0.82,7.2,1,16.6666666666667
"Manhattan","Manhattan",4.2,25.2,1.89,17,1,16.6666666666667
"Manhattan","Manhattan",1,14.6,1.07,8.6,1,6.84931506849315
"Manhattan","Manhattan",2.94,17.64,1.47,10.7,1,16.6666666666667
"Manhattan","Manhattan",5.08,25.38,1.79,16.3,1,20.0157604412924
"Manhattan","Manhattan",3.5,17.5,1.3,10,1,20
"Manhattan","Airport",11,78.19,11.77,48.5,1,14.0682951784116
"Manhattan","Manhattan",3.55,17.85,1.8,9.3,1,19.8879551820728
"Manhattan","Manhattan",3.5,21,1.82,13.5,1,16.6666666666667
"Manhattan","Manhattan",1.38,12.88,0.7,6.5,1,10.7142857142857
"Manhattan","Manhattan",6.12,30.62,2.19,20.5,1,19.9869366427172
"Manhattan","Airport",0.1,82.4,18.94,70,1,0.121359223300971
"Manhattan","Manhattan",2,32.8,4.88,26.8,1,6.09756097560976
"Manhattan","Airport",0,80.25,17,70,1,0
"Manhattan","Manhattan",2.25,17.25,1.25,10,1,13.0434782608696
"Manhattan","Manhattan",3.64,21.84,1.57,14.2,1,16.6666666666667
"Manhattan","Manhattan",2.8,16.8,1.18,10,1,16.6666666666667
"Manhattan","Manhattan",5.1,30.6,3.66,20.5,1,16.6666666666667
"Manhattan","Manhattan",2.44,14.64,0.76,7.2,1,16.6666666666667
"Manhattan","Manhattan",5.74,34.44,4.9,24.7,1,16.6666666666667
"Manhattan","Airport",10,89.8,18.7,70,1,11.1358574610245
"Manhattan","Manhattan",4.48,26.88,3.66,18.4,1,16.6666666666667
"Manhattan","Manhattan",6.72,29.12,2.2,18.4,1,23.0769230769231
"Manhattan","Manhattan",3,18,1.29,10,1,16.6666666666667
"Manhattan","Manhattan",8.48,50.88,6.58,35.9,1,16.6666666666667
"Manhattan","Manhattan",4.06,24.36,1.83,16.3,1,16.6666666666667
"Queens","Airport",0,42.85,8.61,40.1,1,0
"Manhattan","Manhattan",0,12.3,0.47,5.8,1,0
"Manhattan","Manhattan",0,16.8,1.28,12.8,1,0
"Manhattan","Airport",10,92.3,18.1,70,1,10.8342361863489
"Brooklyn","Manhattan",3.78,41.58,5.24,33.8,1,9.09090909090909
"Manhattan","Manhattan",2.86,17.16,0.94,9.3,1,16.6666666666667
"Manhattan","Manhattan",1.95,11.75,0.4,5.8,1,16.5957446808511
"Manhattan","Manhattan",4.71,20.41,1.64,10.7,1,23.0769230769231
"Manhattan","Manhattan",3.22,19.32,2.4,12.1,1,16.6666666666667
"Manhattan","Manhattan",1.25,16.65,1.3,11.4,1,7.50750750750751
"Manhattan","Manhattan",1.96,11.76,0.74,5.8,1,16.6666666666667
"Manhattan","Manhattan",2.86,17.16,1.59,9.3,1,16.6666666666667
"Manhattan","Manhattan",5.04,38.64,3,29.6,1,13.0434782608696
"Manhattan","Manhattan",5.8,34.8,3.15,24,1,16.6666666666667
"Manhattan","Manhattan",3.55,21.45,1.7,11.4,1,16.5501165501165
"Manhattan","Manhattan",2.38,14.28,1.06,7.9,1,16.6666666666667
"Manhattan","Manhattan",0,35,6.04,31,1,0
"Manhattan","Manhattan",2.5,16.5,1.3,10,1,15.1515151515152
"Manhattan","Manhattan",0,11.2,0.8,7.2,1,0
"Queens","Queens",4.2,26.95,2.93,13.5,1,15.5844155844156
"Manhattan","Manhattan",2.7,16.3,1.3,8.6,1,16.5644171779141
"Airport","Manhattan",12.33,73.98,9.59,43.6,1,16.6666666666667
"Manhattan","Manhattan",1.15,12.65,0.7,6.5,1,9.09090909090909
"Manhattan","Manhattan",3.5,48.3,5.55,40.8,1,7.2463768115942
"Manhattan","Manhattan",3.36,20.16,1.94,12.8,1,16.6666666666667
"Manhattan","Manhattan",3.42,20.52,0.88,12.1,1,16.6666666666667
"Manhattan","Manhattan",3.7,18.4,1.1,10.7,1,20.1086956521739
"Airport","Manhattan",15.66,78.31,10.24,47.1,1,19.9974460477589
"Manhattan","Manhattan",1,12.5,0.91,6.5,1,8
"Manhattan","Airport",17.11,103.91,19.73,70,1,16.4661726494081
"Manhattan","Manhattan",3.02,18.12,0.54,8.6,1,16.6666666666667
"Manhattan","Manhattan",2.48,18.98,1.01,10,1,13.0663856691254
"Manhattan","Airport",17.54,105.23,28.66,70,1,16.6682504989072
"Manhattan","Manhattan",3.92,23.52,2.39,15.6,1,16.6666666666667
"Manhattan","Manhattan",5.04,30.24,3.18,21.2,1,16.6666666666667
"Manhattan","Manhattan",2.79,21.39,1.7,12.1,1,13.0434782608696
"Manhattan","Manhattan",1.75,19.25,1.39,13.5,1,9.09090909090909
"Manhattan","Manhattan",2.66,15.96,0.7,9.3,1,16.6666666666667
"Manhattan","Manhattan",1.9,11.6,1,7.2,1,16.3793103448276
"Manhattan","Manhattan",4.54,27.24,3.14,17.7,1,16.6666666666667
"Manhattan","Manhattan",1,14.3,1.28,9.3,1,6.99300699300699
"Brooklyn","Manhattan",9.74,58.44,7.88,42.2,1,16.6666666666667
"Manhattan","Manhattan",6.38,38.28,3.89,25.4,1,16.6666666666667
"Manhattan","Manhattan",3.14,18.84,0.89,10.7,1,16.6666666666667
"Queens","Manhattan",13,93.94,13.73,70,1,13.8386203959974
"Manhattan","Manhattan",2.9,31.9,4.87,24,1,9.09090909090909
"Manhattan","Manhattan",2.57,16.87,1.37,9.3,1,15.2341434499111
"Manhattan","Manhattan",2.5,15.1,1,8.6,1,16.5562913907285
"Manhattan","Manhattan",0,14,0.9,10,1,0
"Manhattan","Manhattan",2.44,14.64,1.1,7.2,1,16.6666666666667
"Manhattan","Manhattan",4.34,26.04,3.57,17.7,1,16.6666666666667
"Manhattan","Manhattan",3.58,21.48,1.92,11.4,1,16.6666666666667
"Manhattan","Manhattan",4.62,23.12,2,13.5,1,19.9826989619377
"Manhattan","Manhattan",2,15.3,1.24,9.3,1,13.0718954248366
