"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","PUMonth","fare_amount","payment_type","percent_tip"
"Bronx","Bronx",0,19,2.9,"Oct",17.5,1,0
"Manhattan","Manhattan",0,25.6,2.48,"Sep",19.1,1,0
"Queens","Manhattan",14.16,84.96,15.67,"Oct",61.8,1,16.6666666666667
"Manhattan","Manhattan",2.8,16.8,1.63,"May",10,1,16.6666666666667
"Manhattan","Manhattan",8.48,42.38,6.5,"Feb",28.9,1,20.0094384143464
"Manhattan","Queens",17.11,102.66,16.24,"Jun",70,1,16.6666666666667
"Manhattan","Manhattan",0,19.9,2.39,"Feb",14.9,1,0
"Manhattan","Manhattan",6.72,40.32,6.61,"Jun",29.6,1,16.6666666666667
"Manhattan","Manhattan",7.7,38.5,5,"Apr",26.8,1,20
"Manhattan","Manhattan",2.52,15.12,0.86,"Nov",8.6,1,16.6666666666667
"Brooklyn","Manhattan",0,13.3,1.5,"Apr",9.3,1,0
"Manhattan","Manhattan",2,26.5,2.7,"Oct",20.5,1,7.54716981132075
"Manhattan","Manhattan",2.1,12.6,0.9,"Jul",6.5,1,16.6666666666667
"Manhattan","Manhattan",4.84,29.04,1.67,"Nov",17.7,1,16.6666666666667
"Manhattan","Manhattan",6.86,41.16,2.89,"Oct",30.3,1,16.6666666666667
"Manhattan","Manhattan",3.11,34.21,5.74,"May",26.1,1,9.09090909090909
"Queens","Manhattan",5.66,33.96,4.26,"Jul",23.3,1,16.6666666666667
"Manhattan","Manhattan",2,26.2,2.73,"Aug",17.7,1,7.63358778625954
"Manhattan","Manhattan",3,28.9,2.94,"Sep",21.9,1,10.3806228373702
"Manhattan","Manhattan",4.06,24.36,2.13,"Oct",16.3,1,16.6666666666667
"Manhattan","Manhattan",7.76,46.56,5.54,"May",33.8,1,16.6666666666667
"Manhattan","Manhattan",6.05,30.25,2.11,"May",17.7,1,20
"Manhattan","Manhattan",4.35,26.05,1.8,"Nov",17.7,1,16.6986564299424
"Manhattan","Queens",11.91,73.2,10.81,"Sep",43.6,1,16.2704918032787
"Manhattan","Manhattan",2.85,14.35,0.9,"Jul",6.5,1,19.8606271777003
"Manhattan","Manhattan",0,12.6,0.56,"Jul",8.6,1,0
"Manhattan","Manhattan",2.1,12.6,0.55,"Dec",6.5,1,16.6666666666667
"Manhattan","Manhattan",5.18,31.08,2.7,"Jan",21.9,1,16.6666666666667
"Manhattan","Manhattan",2.8,16.8,1,"Dec",10,1,16.6666666666667
"Manhattan","Manhattan",2,22.3,2.39,"Jan",16.3,1,8.96860986547085
"Manhattan","Manhattan",3.5,17.5,0.9,"Oct",10,1,20
"Manhattan","Manhattan",3.87,16.77,0.61,"Dec",7.9,1,23.0769230769231
"Manhattan","Manhattan",4.95,21.45,0.79,"Sep",10,1,23.0769230769231
"Manhattan","Manhattan",3.01,33.11,3.89,"Jun",26.1,1,9.09090909090909
"Manhattan","Manhattan",3.3,19.8,1.1,"Nov",10,1,16.6666666666667
"Manhattan","Manhattan",3.08,18.48,1.43,"Apr",11.4,1,16.6666666666667
"Manhattan","Manhattan",7.1,42.8,5.5,"Feb",31.7,1,16.588785046729
"Manhattan","Manhattan",3.72,22.32,1.54,"Feb",12.1,1,16.6666666666667
"Brooklyn","Manhattan",10,45.7,5.61,"Sep",31.7,1,21.8818380743982
"EWR","Manhattan",5,120.45,20.84,"Jul",100.7,1,4.151100041511
"Manhattan","Manhattan",4.3,26,2.4,"Jun",17.7,1,16.5384615384615
"Manhattan","Queens",10.93,66.83,9.12,"Feb",36.6,1,16.3549304204698
"Manhattan","Manhattan",3,21.2,2.1,"Jun",14.2,1,14.1509433962264
"Manhattan","Manhattan",3.08,18.48,2.05,"Jun",11.4,1,16.6666666666667
"Manhattan","Manhattan",2.52,15.12,1,"May",8.6,1,16.6666666666667
"Manhattan","Manhattan",1,16.4,1.54,"Jan",11.4,1,6.09756097560976
"Manhattan","Manhattan",3.5,18.6,0.55,"Apr",8.6,1,18.8172043010753
"Brooklyn","Queens",11.84,51.29,7.29,"Feb",31.7,1,23.0844219146032
"Manhattan","Manhattan",3.7,22.2,0,"Aug",15,1,16.6666666666667
"Manhattan","Manhattan",2.3,13.8,0.63,"Dec",6.5,1,16.6666666666667
"Manhattan","Queens",16.54,99.23,20.72,"Oct",70,1,16.6683462662501
"Manhattan","Manhattan",2.88,17.28,0.58,"Dec",7.9,1,16.6666666666667
"Manhattan","Manhattan",2.38,14.28,0.64,"Feb",7.9,1,16.6666666666667
"Manhattan","Manhattan",0,20.6,2.85,"Dec",15.6,1,0
"Manhattan","Manhattan",3.5,21,2.6,"Apr",13.5,1,16.6666666666667
"Manhattan","Manhattan",2.52,15.12,1.11,"May",8.6,1,16.6666666666667
"Manhattan","Manhattan",4.9,29.4,2.2,"Dec",20.5,1,16.6666666666667
"Manhattan","Queens",15.84,80.44,10.92,"Mar",47.8,1,19.6916956737941
"Manhattan","Manhattan",3.3,19.8,1.79,"Apr",10,1,16.6666666666667
"Manhattan","Manhattan",3,24.3,3.4,"Jan",16.3,1,12.3456790123457
"Queens","Manhattan",13.88,83.28,12.2,"Jan",60.4,1,16.6666666666667
"Manhattan","Manhattan",3.98,23.88,2.31,"Aug",14.9,1,16.6666666666667
"Manhattan","Manhattan",3.7,22.2,2.1,"Dec",13.5,1,16.6666666666667
"Manhattan","Manhattan",2.44,14.64,0.75,"Sep",7.2,1,16.6666666666667
"Manhattan","Manhattan",9.36,40.56,4.11,"Nov",24.7,1,23.0769230769231
"Manhattan","Manhattan",4.48,26.88,3.58,"Aug",18.4,1,16.6666666666667
"Manhattan","Manhattan",40,49.5,0,"Jul",3,1,80.8080808080808
"Manhattan","Manhattan",3.05,18.45,0.8,"Jun",11.4,1,16.5311653116531
"Manhattan","Manhattan",5.1,30.6,1.4,"Feb",20.5,1,16.6666666666667
"Manhattan","Manhattan",4.4,26.4,1.89,"Oct",17,1,16.6666666666667
"Manhattan","Manhattan",0,20.14,2.02,"Oct",10.7,1,0
"Manhattan","Manhattan",6.3,48.3,8.78,"Sep",38,1,13.0434782608696
"Manhattan","Queens",11.25,67.5,12,"Jan",45,1,16.6666666666667
"Manhattan","Manhattan",3.78,22.68,1.53,"Apr",14.9,1,16.6666666666667
"Manhattan","Manhattan",2,16,1.11,"Mar",10,1,12.5
"Manhattan","Manhattan",3.42,17.12,1.08,"Feb",7.2,1,19.9766355140187
"Manhattan","Manhattan",2.44,14.64,1.2,"Oct",7.2,1,16.6666666666667
"Manhattan","Manhattan",4.95,29.85,2.8,"Aug",18.4,1,16.5829145728643
"Manhattan","Manhattan",4,24,1.75,"Jun",13.5,1,16.6666666666667
"Manhattan","Manhattan",2.44,14.64,0.92,"Dec",7.2,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.3,"Jun",10,1,16.6666666666667
"Queens","Manhattan",6.22,37.32,5.37,"Nov",26.1,1,16.6666666666667
"Manhattan","Manhattan",15.08,30.88,0.68,"Jun",9.3,1,48.8341968911917
"Manhattan","Queens",5,67.8,9.28,"Mar",45,1,7.37463126843658
"Manhattan","Manhattan",3.84,23.04,2.23,"Jan",14.2,1,16.6666666666667
"Manhattan","Manhattan",3.74,28.64,2.6,"May",18.4,1,13.0586592178771
"Manhattan","Manhattan",1.65,18.15,1.48,"Jun",10,1,9.09090909090909
"Manhattan","Manhattan",2.72,16.32,1.07,"Feb",8.6,1,16.6666666666667
"Manhattan","Manhattan",5.32,31.92,4.21,"Feb",22.6,1,16.6666666666667
"Manhattan","Manhattan",3.9,23.5,2.9,"May",15.6,1,16.5957446808511
"Manhattan","Manhattan",1,28.3,5.11,"Feb",23.3,1,3.53356890459364
"Manhattan","Manhattan",3.05,18.45,1.8,"Apr",11.4,1,16.5311653116531
"Manhattan","Manhattan",2,22,1.9,"Sep",13.5,1,9.09090909090909
"Manhattan","Manhattan",2.9,14.5,0.51,"Nov",5.1,1,20
"Manhattan","Manhattan",3.95,19.65,1.4,"Dec",10.7,1,20.1017811704835
"Manhattan","Queens",15.15,90.9,19.9,"Sep",70,1,16.6666666666667
"Manhattan","Manhattan",4.34,26.04,2.72,"Jul",17.7,1,16.6666666666667
"Manhattan","Manhattan",2,14.9,0.93,"Oct",7.9,1,13.4228187919463
"Manhattan","Manhattan",2.5,15.1,0.3,"Apr",8.6,1,16.5562913907285
"Manhattan","Manhattan",3.36,20.16,1.69,"Apr",12.8,1,16.6666666666667
"Manhattan","Manhattan",5.54,33.24,3.41,"Oct",21.2,1,16.6666666666667
"Manhattan","Manhattan",3.58,21.48,1.09,"Nov",11.4,1,16.6666666666667
"Manhattan","Manhattan",1.47,16.17,1.37,"Apr",10.7,1,9.09090909090909
"Manhattan","Queens",16.19,98.88,18.09,"Oct",70,1,16.3733818770227
"Manhattan","Manhattan",3.58,17.88,0.83,"Jul",9.3,1,20.0223713646532
"Manhattan","Manhattan",5.95,29.75,3.44,"Jan",19.8,1,20
"Brooklyn","Queens",12.13,72.78,15.07,"Jan",56.9,1,16.6666666666667
"Manhattan","Manhattan",2.44,14.64,0.91,"Sep",7.2,1,16.6666666666667
"Manhattan","Manhattan",2.2,13.4,1.3,"Feb",7.2,1,16.4179104477612
"Manhattan","Manhattan",4.2,25.2,1.49,"Apr",17,1,16.6666666666667
"Manhattan","Manhattan",4.76,28.56,2.5,"Dec",19.8,1,16.6666666666667
"Manhattan","Manhattan",3.42,20.52,0,"Oct",12.1,1,16.6666666666667
"Manhattan","Manhattan",3.85,23.15,2.2,"Apr",12.8,1,16.6306695464363
"Manhattan","Manhattan",3.22,19.32,1.93,"May",12.1,1,16.6666666666667
"Manhattan","Manhattan",4.4,26.4,1.83,"Sep",17,1,16.6666666666667
"Manhattan","Manhattan",2,24.4,0.96,"Nov",18.4,1,8.19672131147541
"Manhattan","Manhattan",1,11.8,0.62,"Apr",5.8,1,8.47457627118644
"Manhattan","Manhattan",4.12,24.72,3.2,"Aug",15.6,1,16.6666666666667
"Brooklyn","Manhattan",9.7,48.5,6.75,"Nov",33.8,1,20
"Manhattan","Manhattan",5.18,31.08,2.35,"Jun",21.9,1,16.6666666666667
"Manhattan","Manhattan",2.58,15.48,1.27,"Sep",7.9,1,16.6666666666667
"Manhattan","Manhattan",3,18.1,1.3,"Oct",8.6,1,16.5745856353591
"Manhattan","Manhattan",3,18,1.5,"Jul",10,1,16.6666666666667
"Manhattan","Manhattan",0,12.9,1.3,"Oct",7.9,1,0
"Manhattan","Manhattan",0,29.7,2.66,"Dec",24.7,1,0
"Manhattan","Manhattan",6,45.2,6.06,"May",35.2,1,13.2743362831858
"Manhattan","Queens",11.3,69.55,7.61,"Nov",45,1,16.2473040977714
"Manhattan","Manhattan",7.08,42.48,6.27,"Nov",28.9,1,16.6666666666667
"Manhattan","Queens",14.3,87.55,17.98,"Jul",70,1,16.3335237007424
"Manhattan","Manhattan",4.53,19.63,1.05,"Sep",8.6,1,23.0769230769231
"Manhattan","Manhattan",3.3,19.8,1.03,"Nov",10,1,16.6666666666667
"Manhattan","Manhattan",4.4,26.5,2.2,"May",15.6,1,16.6037735849057
"Manhattan","Manhattan",0,21.4,1.23,"Nov",14.9,1,0
"Manhattan","Manhattan",2.9,12.7,0.6,"Dec",5.8,1,22.8346456692913
"Manhattan","Manhattan",5.66,33.96,3.58,"Oct",23.3,1,16.6666666666667
"Manhattan","Manhattan",4.23,27.73,2.53,"Feb",17,1,15.2542372881356
"Manhattan","Manhattan",7,25.6,1,"Dec",12.1,1,27.34375
"Manhattan","Manhattan",5.12,30.72,2.96,"Aug",19.1,1,16.6666666666667
"Manhattan","Manhattan",5.85,35.25,4.7,"Dec",25.4,1,16.5957446808511
"Manhattan","Manhattan",3.6,21.8,1.7,"Oct",14.2,1,16.5137614678899
"Manhattan","Manhattan",1.5,32,2.62,"Sep",24,1,4.6875
"Manhattan","Manhattan",4,14.8,0.6,"Sep",5.8,1,27.027027027027
"Manhattan","Manhattan",5.88,35.28,3.37,"Sep",25.4,1,16.6666666666667
"Manhattan","Manhattan",1.88,11.28,0.27,"Dec",4.4,1,16.6666666666667
"Manhattan","Manhattan",5.6,33.6,3.46,"Sep",24,1,16.6666666666667
"Manhattan","Manhattan",2,22.7,0.97,"Sep",14.2,1,8.81057268722467
"Manhattan","Manhattan",2.99,27.89,2.75,"Oct",18.4,1,10.7206884187881
"Manhattan","Manhattan",2.46,14.76,0.5,"Apr",5.8,1,16.6666666666667
"Manhattan","Manhattan",3.22,19.32,0.86,"Jun",12.1,1,16.6666666666667
"Manhattan","Manhattan",7.75,46.55,5.6,"Apr",33.8,1,16.6487647690655
"Manhattan","Manhattan",4.97,24.87,1.91,"Jun",14.9,1,19.9839163650985
"Manhattan","Manhattan",5.88,25.48,2.58,"Sep",15.6,1,23.0769230769231
"Manhattan","Manhattan",1,20.2,2.36,"Jan",14.2,1,4.95049504950495
"Manhattan","Manhattan",6.3,37.8,2.3,"Nov",27.5,1,16.6666666666667
"Manhattan","Manhattan",1,14.3,0.63,"Nov",9.3,1,6.99300699300699
"Manhattan","Manhattan",3.64,21.84,2.11,"Jul",14.2,1,16.6666666666667
"Manhattan","Manhattan",2.7,16.4,0.4,"May",7.2,1,16.4634146341463
"Manhattan","Queens",0,75.25,19.1,"Jan",70,1,0
"Manhattan","Manhattan",0,23.1,1.07,"Aug",19.1,1,0
"Manhattan","Manhattan",10.75,53.75,7.66,"Oct",38,1,20
"Manhattan","Manhattan",3.08,18.48,1.87,"Jan",11.4,1,16.6666666666667
"Manhattan","Manhattan",2.94,17.64,1.45,"Nov",10.7,1,16.6666666666667
"Manhattan","Manhattan",4.06,24.36,1.44,"Aug",16.3,1,16.6666666666667
"Brooklyn","Queens",10,86.85,17.49,"Jan",71.6,1,11.5141047783535
"Manhattan","Manhattan",4.26,25.56,2.52,"Nov",16.3,1,16.6666666666667
"Manhattan","Manhattan",3,20.8,2,"Jul",12.8,1,14.4230769230769
"Manhattan","Manhattan",3,23.3,2.91,"Apr",16.3,1,12.8755364806867
"Manhattan","Manhattan",0,14.7,1.16,"Feb",10.7,1,0
"Manhattan","Manhattan",3.7,22.2,2.22,"May",13.5,1,16.6666666666667
"Manhattan","Manhattan",2.74,16.44,0.87,"Aug",7.2,1,16.6666666666667
"Manhattan","Manhattan",3.58,21.48,1.62,"Apr",11.4,1,16.6666666666667
"Unknown","Unknown",11.29,86.54,0,"Jan",70,1,13.0459902935059
"Manhattan","Manhattan",4.42,23.62,2.26,"Nov",14.2,1,18.7129551227773
"Manhattan","Manhattan",4.54,27.24,3.1,"Sep",17.7,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.7,"May",10,1,16.6666666666667
"Manhattan","Manhattan",2.1,12.6,0.6,"Feb",6.5,1,16.6666666666667
"Manhattan","Manhattan",4.62,27.72,1.47,"Oct",19.1,1,16.6666666666667
"Manhattan","Manhattan",1.36,14.96,1.18,"Feb",8.6,1,9.09090909090909
"Manhattan","Manhattan",4,20.8,1.2,"Aug",12.8,1,19.2307692307692
"Manhattan","Manhattan",4.34,26.04,2.35,"Mar",17.7,1,16.6666666666667
"Manhattan","Manhattan",3.46,26.56,2.9,"Oct",19.1,1,13.0271084337349
"Manhattan","Manhattan",1.89,14.49,1.4,"Apr",8.6,1,13.0434782608696
"Manhattan","Manhattan",3.42,20.52,1.95,"Apr",12.1,1,16.6666666666667
"Manhattan","Manhattan",3.5,21,1.9,"May",13.5,1,16.6666666666667
"Manhattan","Manhattan",1,18.5,1.88,"Mar",13.5,1,5.4054054054054
"Manhattan","Manhattan",2.9,19,1.8,"Oct",12.1,1,15.2631578947368
"Manhattan","Manhattan",2.58,15.48,1.12,"May",7.9,1,16.6666666666667
"Manhattan","Manhattan",2.9,22.2,1.85,"Feb",12.8,1,13.0630630630631
"Manhattan","Queens",0,34.7,0,"Aug",33.2,1,0
"Manhattan","Manhattan",9.53,47.63,6.87,"Nov",33.1,1,20.0083980684443
"Manhattan","Manhattan",3.2,19.3,1.6,"Jan",12.1,1,16.580310880829
"Manhattan","Manhattan",6.94,41.64,6.07,"May",28.2,1,16.6666666666667
"Manhattan","Queens",16.19,97.13,17.57,"Oct",70,1,16.6683825800474
"Manhattan","Manhattan",3.7,22.2,2.02,"Jun",13.5,1,16.6666666666667
"Manhattan","Manhattan",6.05,36.45,5.5,"Jan",25.4,1,16.5980795610425
"Brooklyn","Manhattan",8.62,51.72,6.63,"Jul",36.6,1,16.6666666666667
"Manhattan","Manhattan",2.8,16.8,1.7,"Jul",10,1,16.6666666666667
"Manhattan","Manhattan",6.38,38.28,4.53,"Aug",25.4,1,16.6666666666667
"Brooklyn","Queens",9.5,57,11.02,"Mar",45,1,16.6666666666667
"Manhattan","Queens",15.05,90.3,18.8,"Feb",70,1,16.6666666666667
"Manhattan","Manhattan",4,32,5.74,"Feb",24,1,12.5
"Manhattan","Manhattan",5,22.8,2,"Jun",12.8,1,21.9298245614035
"Manhattan","Manhattan",6.3,37.8,2.9,"Sep",27.5,1,16.6666666666667
"Manhattan","Manhattan",0,15.8,1.13,"Jul",9.3,1,0
"Manhattan","Manhattan",1.5,17.6,0.69,"Jul",12.1,1,8.52272727272727
"Manhattan","Manhattan",7.14,42.84,4.13,"May",31.7,1,16.6666666666667
"Queens","Manhattan",7.76,63.8,10,"Dec",40.1,1,12.1630094043887
"Manhattan","Manhattan",5.8,25.1,1.8,"Jun",12.8,1,23.1075697211155
"Manhattan","Manhattan",2,16,0.7,"Jun",10,1,12.5
"Manhattan","Manhattan",2.8,16.8,0.81,"May",10,1,16.6666666666667
"Manhattan","Manhattan",2.3,13.8,0.9,"Sep",6.5,1,16.6666666666667
"Manhattan","Manhattan",3.92,23.52,0.77,"Dec",15.6,1,16.6666666666667
"Manhattan","Manhattan",2.72,16.32,0.94,"Sep",8.6,1,16.6666666666667
"Manhattan","Manhattan",3.44,20.64,1.41,"Jan",10.7,1,16.6666666666667
"Manhattan","Manhattan",3.92,19.62,1.05,"Dec",10.7,1,19.9796126401631
"Manhattan","Manhattan",6.05,30.25,3.68,"Jul",17.7,1,20
"Manhattan","Manhattan",3.95,19.75,0.73,"Apr",9.3,1,20
"Manhattan","Manhattan",1,17.1,1.8,"Jul",12.1,1,5.84795321637427
"Manhattan","Manhattan",2.66,15.96,1.02,"Nov",9.3,1,16.6666666666667
"Manhattan","Manhattan",3.36,20.16,1.27,"Jun",12.8,1,16.6666666666667
"Manhattan","Manhattan",0,12.6,1,"Aug",8.6,1,0
"Manhattan","Manhattan",7.5,45,5.08,"Mar",31,1,16.6666666666667
"Manhattan","Manhattan",2.94,17.64,1.31,"Jun",10.7,1,16.6666666666667
"Manhattan","Queens",16.36,98.16,17.69,"Feb",70,1,16.6666666666667
"Manhattan","Manhattan",3.23,16.13,1.12,"Apr",7.9,1,20.0247985120893
"Manhattan","Brooklyn",0,53.55,0,"Jun",45.5,1,0
"Manhattan","Manhattan",3.3,19.8,1.35,"Sep",10,1,16.6666666666667
"Manhattan","Manhattan",3.44,20.64,1.03,"Jul",10.7,1,16.6666666666667
"Manhattan","Manhattan",2,30.3,5.4,"Feb",23.3,1,6.6006600660066
"EWR","Manhattan",21.19,127.14,17.13,"Oct",90.2,1,16.6666666666667
"Manhattan","Manhattan",5.7,34.4,3.3,"Apr",24.7,1,16.5697674418605
"Queens","Queens",2.44,15.89,1.89,"Jan",10.7,1,15.3555695405916
"Manhattan","Manhattan",4.55,27.25,2.8,"Jul",17.7,1,16.697247706422
"Manhattan","Manhattan",4.06,24.36,1.95,"Jul",16.3,1,16.6666666666667
"Brooklyn","Queens",15.63,93.78,20.31,"Jan",74.4,1,16.6666666666667
"Manhattan","Manhattan",1.82,10.92,0.55,"Apr",5.1,1,16.6666666666667
"Manhattan","Manhattan",2.66,15.96,1,"Jul",9.3,1,16.6666666666667
"Manhattan","Manhattan",7.28,43.68,5.49,"Dec",32.4,1,16.6666666666667
"Manhattan","Manhattan",4.82,28.92,3.25,"Jul",19.1,1,16.6666666666667
"Manhattan","Manhattan",2.38,14.28,0.63,"Aug",7.9,1,16.6666666666667
"Brooklyn","Manhattan",8.1,40.6,5.7,"Mar",27.5,1,19.9507389162562
"Manhattan","Manhattan",4.72,23.62,1.26,"Mar",14.9,1,19.9830651989839
"Manhattan","Manhattan",3.84,23.04,2.52,"Feb",14.2,1,16.6666666666667
"Manhattan","Manhattan",2.24,13.44,0.95,"Jun",7.2,1,16.6666666666667
"Manhattan","Manhattan",2.94,17.64,0.72,"Dec",10.7,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.71,"Jan",10,1,16.6666666666667
"Manhattan","Manhattan",4.84,29.04,2.2,"Apr",17.7,1,16.6666666666667
"Manhattan","Manhattan",4.2,21,1.74,"May",12.8,1,20
"Unknown","Unknown",4.83,20.93,2.16,"May",12.1,1,23.0769230769231
"Manhattan","Manhattan",1,9.4,0.44,"Sep",4.4,1,10.6382978723404
"Manhattan","Manhattan",4.34,26.04,2.22,"Feb",17.7,1,16.6666666666667
"Manhattan","Manhattan",1,14.3,1.8,"Nov",9.3,1,6.99300699300699
"Manhattan","Manhattan",4.4,26.4,2.85,"Jul",17,1,16.6666666666667
"Manhattan","Manhattan",5.54,33.24,3.7,"Mar",21.2,1,16.6666666666667
"Manhattan","Manhattan",1.95,11.75,0.8,"May",5.8,1,16.5957446808511
"Manhattan","Manhattan",1,32.9,5.09,"Dec",25.4,1,3.03951367781155
"Manhattan","Manhattan",3.33,16.63,0.98,"May",9.3,1,20.0240529164161
"Manhattan","Manhattan",2,32.4,4.31,"Mar",25.4,1,6.17283950617284
"Queens","Queens",8.6,51.65,8.6,"Nov",37.3,1,16.6505324298161
"Manhattan","Manhattan",2.4,14.6,0.9,"Mar",7.2,1,16.4383561643836
"Manhattan","Manhattan",3,18.1,1.2,"Mar",8.6,1,16.5745856353591
"Manhattan","Manhattan",1.75,19.25,1.8,"Nov",13.5,1,9.09090909090909
"Manhattan","Manhattan",2.58,15.48,0.78,"Oct",7.9,1,16.6666666666667
"Brooklyn","Manhattan",8.2,49.2,7.6,"May",34.5,1,16.6666666666667
"Manhattan","Manhattan",4.28,25.68,1.3,"Oct",14.9,1,16.6666666666667
"Queens","Manhattan",8.18,49.08,3.8,"Nov",35.9,1,16.6666666666667
"Brooklyn","Manhattan",8,59.1,8.72,"Aug",47.1,1,13.5363790186125
"Manhattan","Manhattan",4.12,24.72,2.67,"Dec",15.6,1,16.6666666666667
"Manhattan","Queens",16.11,98.41,19.59,"May",70,1,16.3702875724012
"Manhattan","Manhattan",5,37.5,4.73,"Apr",27.5,1,13.3333333333333
"Manhattan","Manhattan",3.64,21.84,2.18,"Jan",14.2,1,16.6666666666667
"Manhattan","Manhattan",2,16,1.04,"Oct",10,1,12.5
"Manhattan","Manhattan",1.89,20.79,1.79,"Dec",14.9,1,9.09090909090909
"Manhattan","Manhattan",2.8,16.8,1.64,"Jul",10,1,16.6666666666667
"Manhattan","Manhattan",2.75,16.45,0.9,"Jul",7.2,1,16.7173252279635
"Manhattan","Manhattan",5.36,32.16,3.1,"Sep",23.3,1,16.6666666666667
"Manhattan","Manhattan",3.08,18.48,2,"Aug",11.4,1,16.6666666666667
"Manhattan","Manhattan",1,10.8,0.73,"May",5.8,1,9.25925925925926
"Manhattan","Manhattan",3.28,19.68,2.02,"Nov",11.4,1,16.6666666666667
"Manhattan","Manhattan",2.16,12.96,0.61,"Jan",5.8,1,16.6666666666667
"Manhattan","Manhattan",3.92,23.52,1.61,"Sep",15.6,1,16.6666666666667
"Manhattan","Manhattan",2,23,1.19,"Mar",17,1,8.69565217391304
"Manhattan","Manhattan",3,27.9,2.3,"Jan",18.4,1,10.752688172043
"Manhattan","Queens",16.19,98.88,19.82,"Sep",70,1,16.3733818770227
"Manhattan","Manhattan",3.58,17.88,1.1,"Oct",9.3,1,20.0223713646532
"Unknown","Unknown",3.36,20.16,0,"Apr",12.8,1,16.6666666666667
"Manhattan","Manhattan",2.94,17.64,1.32,"Apr",10.7,1,16.6666666666667
"Manhattan","Manhattan",1.96,11.76,0.42,"Dec",5.8,1,16.6666666666667
"Manhattan","Manhattan",1,16.7,1.7,"Dec",10.7,1,5.98802395209581
"Manhattan","Manhattan",1.71,18.81,1.8,"Jun",12.1,1,9.09090909090909
"Manhattan","Manhattan",3.5,17.5,1.27,"May",10,1,20
"Manhattan","Manhattan",3.55,21.45,1.4,"May",11.4,1,16.5501165501165
"EWR","EWR",18.73,112.38,0,"Jul",92.65,1,16.6666666666667
"Queens",NA,21.9,131.4,14.54,"Nov",108,1,16.6666666666667
"Manhattan","Manhattan",4.84,29.04,2.07,"May",17.7,1,16.6666666666667
"Manhattan","Manhattan",3.3,27.5,2.7,"Feb",17.7,1,12
"Brooklyn","Queens",2,80.15,19.8,"Feb",74.4,1,2.49532127261385
"Manhattan","Manhattan",3.14,18.84,1.09,"Oct",10.7,1,16.6666666666667
"Manhattan","Manhattan",4.41,19.11,1.42,"Aug",10.7,1,23.0769230769231
"Manhattan","Manhattan",2,15.3,0.89,"Nov",9.3,1,13.0718954248366
"Manhattan","Manhattan",3.42,20.52,1.07,"Apr",12.1,1,16.6666666666667
"Manhattan","Manhattan",3.08,18.48,1.23,"May",11.4,1,16.6666666666667
"Manhattan","Manhattan",11.2,56,6.38,"Dec",40.8,1,20
"Manhattan","Manhattan",2.65,15.95,1.1,"Oct",9.3,1,16.6144200626959
"Manhattan","Manhattan",2.24,13.44,0.86,"Nov",7.2,1,16.6666666666667
"Manhattan","Manhattan",0,10.8,0.83,"May",5.8,1,0
"Manhattan","Manhattan",3.36,20.16,2.15,"Jan",12.8,1,16.6666666666667
"Manhattan","Manhattan",2,10.4,0.4,"Sep",4.4,1,19.2307692307692
"Manhattan","Manhattan",2.85,17.25,1.2,"Jun",7.9,1,16.5217391304348
"Manhattan","Manhattan",2.8,14,0.9,"Dec",7.2,1,20
"Manhattan","Manhattan",2,13.2,0.9,"Dec",7.2,1,15.1515151515152
"Manhattan","Manhattan",2.8,16.8,1.2,"Jul",10,1,16.6666666666667
"Manhattan","Manhattan",4.12,24.72,2.71,"Apr",15.6,1,16.6666666666667
"Unknown","Unknown",17.18,44.78,3.64,"Jun",22.6,1,38.3653416703886
"Queens","Manhattan",11,65.95,9.2,"May",39.4,1,16.6793025018954
"Manhattan","Queens",0,64.1,10.16,"Jun",44.3,1,0
"Manhattan","Manhattan",2.86,17.16,1.32,"Nov",9.3,1,16.6666666666667
"Queens","Queens",4.18,25.08,3.74,"May",18.4,1,16.6666666666667
"Manhattan","Manhattan",4.1,20.5,2.42,"Apr",11.4,1,20
"Brooklyn","Manhattan",8.18,49.08,7.89,"Aug",35.9,1,16.6666666666667
"Manhattan","Manhattan",1,16.1,1.23,"Nov",8.6,1,6.2111801242236
"Manhattan","Queens",10,83.89,12.4,"Aug",56.2,1,11.9203719156038
"Manhattan","Manhattan",7.56,45.36,6.42,"Jan",33.8,1,16.6666666666667
"Manhattan","Manhattan",2.8,16.8,1.32,"Nov",10,1,16.6666666666667
"Manhattan","Manhattan",5.52,33.12,4.97,"Aug",22.6,1,16.6666666666667
"Manhattan","Manhattan",4.42,26.52,2.72,"Apr",15.6,1,16.6666666666667
"Manhattan","Manhattan",3.98,23.88,2.57,"Nov",14.9,1,16.6666666666667
"Brooklyn","Manhattan",4.82,28.92,3.23,"Jun",19.1,1,16.6666666666667
"Manhattan","Manhattan",3.36,20.16,1.71,"Jan",12.8,1,16.6666666666667
"Manhattan","Manhattan",17.01,102.06,0,"Mar",81.55,1,16.6666666666667
"Manhattan","Queens",11.63,71.52,8.77,"Sep",42.2,1,16.2611856823266
"Bronx","Queens",0,92.5,19.3,"Mar",80.7,1,0
"Manhattan","Manhattan",2.52,15.12,1.18,"May",8.6,1,16.6666666666667
