"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","PUMonth","fare_amount","payment_type","percent_tip"
"Manhattan","Manhattan",2.36,18.06,1.29,"Dec",10.7,1,13.0675526024363
"Manhattan","Queens",15.8,96.55,18.11,"Dec",70,1,16.3645779388918
"Brooklyn","Queens",11,77.85,15.38,"Dec",57.6,1,14.1297366730893
"Manhattan","Manhattan",3.64,21.84,2.28,"Dec",14.2,1,16.6666666666667
"Manhattan","Manhattan",3.36,20.16,1.85,"Jan",12.8,1,16.6666666666667
"Manhattan","Manhattan",3,21.9,1.94,"Jun",14.9,1,13.6986301369863
"Manhattan","Manhattan",2.66,15.96,0.77,"Feb",9.3,1,16.6666666666667
"Manhattan","Manhattan",3.78,22.68,2.59,"Dec",14.9,1,16.6666666666667
"Manhattan","Manhattan",5.88,25.48,2.07,"Jul",15.6,1,23.0769230769231
"Manhattan","Queens",4.9,29.4,2.7,"Apr",20.5,1,16.6666666666667
"Manhattan","Manhattan",4.2,25.2,1.77,"Oct",17,1,16.6666666666667
"Manhattan","Manhattan",2.75,13.95,0.7,"Dec",7.2,1,19.7132616487455
"Manhattan","Manhattan",4,24,1.77,"Oct",13.5,1,16.6666666666667
"Manhattan","Manhattan",0,22.1,1.8,"Jul",15.6,1,0
"Manhattan","Manhattan",1,30,5.15,"May",24,1,3.33333333333333
"Manhattan","Manhattan",4.41,33.81,5.95,"Apr",25.4,1,13.0434782608696
"Manhattan","Manhattan",1,11.5,0.85,"Apr",6.5,1,8.69565217391304
"Manhattan","Queens",10.2,61.4,8.6,"Mar",35.9,1,16.6123778501629
"Manhattan","Manhattan",3.56,21.36,2.1,"Apr",12.8,1,16.6666666666667
"Manhattan","Manhattan",2.66,15.96,0.71,"Jul",9.3,1,16.6666666666667
"Manhattan","Manhattan",0,11.2,1.23,"Mar",7.2,1,0
"Manhattan","Manhattan",2.3,13.8,0.5,"Jun",6.5,1,16.6666666666667
"Manhattan","Manhattan",4.7,28.2,2.71,"Apr",17,1,16.6666666666667
"Manhattan","Queens",20.23,102.92,18.46,"Oct",70,1,19.6560435289545
"Manhattan","Manhattan",5.32,31.92,2.93,"Mar",22.6,1,16.6666666666667
"Manhattan","Manhattan",6.25,37.45,3.2,"Oct",24.7,1,16.6889185580774
"Manhattan","Manhattan",4.2,25.2,2.27,"Jul",17,1,16.6666666666667
"Brooklyn","Manhattan",9.35,46.75,8.4,"Sep",32.4,1,20
"Manhattan","Manhattan",2.3,16,0.99,"Jun",7.2,1,14.375
"Manhattan","Manhattan",2.66,15.96,1,"Oct",9.3,1,16.6666666666667
"Manhattan","Manhattan",6.22,37.32,4.62,"Jun",26.1,1,16.6666666666667
"Manhattan","Manhattan",1.82,10.92,0.54,"Dec",5.1,1,16.6666666666667
"Manhattan","Queens",12.34,75.29,10.64,"Apr",52.7,1,16.3899588258733
"Manhattan","Manhattan",1,15.7,1.69,"Aug",10.7,1,6.36942675159236
"Manhattan","Manhattan",2.5,15.1,0.9,"Sep",8.6,1,16.5562913907285
"Manhattan","Manhattan",11.85,51.35,7.5,"Jun",34.5,1,23.0769230769231
"Manhattan","Manhattan",1.47,16.17,0.87,"Oct",10.7,1,9.09090909090909
"Manhattan","Manhattan",4,27.5,1.4,"Nov",17,1,14.5454545454545
"Manhattan","Manhattan",2,21.9,2.37,"Feb",14.9,1,9.1324200913242
"Manhattan","Manhattan",2.15,12.95,0.8,"May",5.8,1,16.6023166023166
"Brooklyn","Manhattan",9.85,59.15,7.1,"Oct",44.3,1,16.6525781910397
